id, tile count, move count
398, 5, 42
399, 4, 14
400, 7, 54
401, 5, 27
402, 6, 45
403, 5, 27
404, 11, 131
405, 13, 118
406, 7, 65
407, 3, 9
408, 6, 26
409, 4, 17
410, 7, 43
411, 7, 23
412, 8, 59
413, 10, 74
414, 8, 70
415, 10, 83
416, 11, 91
417, 6, 39
418, 9, 53
419, 9, 97
420, 7, 45
421, 5, 24
422, 2, 2
423, 7, 28
424, 7, 62
425, 10, 121
426, 2, 3
427, 8, 58
428, 3, 9
429, 6, 24
430, 6, 19
431, 6, 50
432, 4, 13
433, 4, 15
434, 7, 12
435, 8, 49
436, 7, 58
437, 8, 44
438, 7, 30
439, 4, 16
440, 9, 68
441, 2, 2
442, 3, 10
443, 3, 9
444, 4, 10
445, 11, 137
446, 7, 57
447, 8, 57
448, 6, 41
449, 2, 2
450, 3, 6
451, 6, 24
452, 2, 2
453, 6, 2
454, 10, 83
455, 5, 28
456, 6, 14
457, 6, 50
458, 10, 97
459, 3, 7
460, 5, 15
461, 4, 9
462, 3, 7
463, 6, 45
464, 7, 60
465, 10, 102
466, 7, 30
467, 8, 48
468, 9, 79
469, 3, 6
470, 6, 15
471, 12, 107
472, 8, 56
473, 5, 2
474, 5, 20
475, 11, 74
476, 12, 176
477, 6, 33
478, 6, 30
479, 8, 47
480, 7, 55
481, 4, 9
482, 5, 23
483, 6, 41
484, 5, 30
485, 11, 105
486, 3, 6
487, 8, 57
488, 8, 78
489, 6, 33
490, 2, 3
491, 2, 3
492, 3, 5
493, 3, 10
494, 9, 62
495, 5, 20
496, 7, 55
497, 2, 2
498, 9, 56
499, 4, 13
500, 9, 92
501, 6, 21
502, 5, 24
503, 6, 32
504, 4, 13
505, 5, 21
506, 5, 22
507, 7, 53
508, 8, 67
509, 11, 99
510, 2, 2
511, 5, 22
512, 5, 20
513, 7, 47
514, 2, 3
515, 9, 116
516, 7, 33
517, 5, 32
518, 10, 85
519, 6, 34
520, 7, 52
521, 4, 9
522, 10, 111
523, 6, 37
524, 6, 20
525, 3, 9
526, 11, 123
527, 7, 52
528, 7, 52
529, 5, 35
530, 8, 86
531, 4, 18
532, 3, 9
533, 8, 75
534, 6, 15
535, 5, 28
536, 5, 30
537, 7, 46
538, 5, 22
539, 8, 60
540, 11, 112
541, 12, 169
542, 6, 26
543, 6, 43
544, 6, 21
545, 6, 18
546, 9, 115
547, 11, 124
548, 3, 9
549, 7, 34
550, 2, 2
551, 5, 19
552, 7, 35
553, 7, 38
554, 7, 2
555, 6, 56
556, 2, 2
557, 8, 68
558, 6, 29
559, 4, 10
560, 5, 29
561, 5, 31
562, 11, 79
563, 6, 29
564, 3, 6
565, 6, 41
566, 5, 24
567, 5, 17
568, 7, 2
569, 8, 52
570, 6, 39
571, 3, 8
572, 5, 39
573, 6, 29
574, 6, 6
575, 5, 22
576, 7, 42
577, 8, 48
578, 2, 1
579, 6, 48
580, 6, 45
581, 4, 14
582, 7, 43
583, 6, 2
584, 5, 16
585, 7, 38
586, 4, 14
587, 7, 47
588, 12, 116
589, 8, 76
590, 4, 9
591, 8, 51
592, 6, 35
593, 6, 30
594, 4, 12
595, 4, 12
596, 7, 57
597, 4, 11
598, 10, 107
599, 5, 21
600, 4, 12
601, 13, 172
602, 7, 41
603, 10, 49
604, 2, 2
605, 7, 32
606, 7, 39
607, 4, 13
608, 5, 22
609, 5, 22
610, 3, 3
611, 6, 47
612, 6, 29
613, 4, 21
614, 7, 41
615, 8, 48
616, 7, 44
617, 8, 61
618, 5, 25
619, 10, 123
620, 6, 35
621, 8, 76
622, 14, 111
623, 7, 38
624, 8, 90
625, 7, 71
626, 8, 42
627, 6, 41
628, 7, 39
629, 5, 9
630, 4, 6
631, 12, 160
632, 11, 100
633, 6, 32
634, 9, 93
635, 8, 46
636, 3, 6
637, 5, 12
638, 11, 87
639, 5, 31
640, 4, 16
641, 3, 8
642, 8, 42
643, 4, 14
644, 8, 43
645, 5, 25
646, 6, 38
647, 3, 10
648, 5, 26
649, 4, 14
650, 7, 58
651, 4, 16
652, 5, 27
653, 5, 28
654, 8, 82
655, 8, 89
656, 10, 68
657, 3, 9
658, 7, 58
659, 9, 94
660, 10, 121
661, 9, 85
662, 6, 37
663, 5, 27
664, 5, 28
665, 5, 19
666, 9, 91
667, 11, 95
668, 7, 47
669, 6, 40
670, 11, 141
671, 12, 127
672, 7, 31
673, 8, 58
674, 4, 8
675, 6, 26
676, 8, 81
677, 7, 24
678, 4, 16
679, 5, 28
680, 8, 62
681, 5, 16
682, 6, 37
683, 2, 3
684, 8, 64
685, 4, 9
686, 7, 44
687, 12, 125
688, 7, 54
689, 5, 13
690, 4, 15
691, 4, 15
692, 6, 38
693, 4, 2
694, 5, 27
695, 4, 21
696, 5, 28
697, 3, 5
698, 2, 3
699, 8, 73
700, 7, 60
701, 9, 49
702, 5, 21
703, 5, 20
704, 5, 23
705, 4, 14
706, 7, 58
707, 12, 201
708, 7, 39
709, 9, 92
710, 4, 21
711, 8, 61
712, 7, 35
713, 5, 9
714, 11, 136
715, 6, 2
716, 7, 32
717, 3, 7
718, 3, 4
719, 7, 52
720, 9, 67
721, 10, 72
722, 14, 183
723, 6, 24
724, 4, 13
725, 5, 24
726, 3, 9
727, 3, 3
728, 5, 32
729, 7, 41
730, 3, 9
731, 7, 32
732, 7, 56
733, 6, 39
734, 7, 37
735, 4, 11
736, 3, 9
737, 4, 4
738, 7, 66
739, 5, 29
740, 4, 14
741, 5, 15
742, 7, 45
743, 9, 40
744, 8, 46
745, 6, 29
746, 10, 71
747, 9, 105
748, 9, 49
749, 6, 22
750, 6, 32
751, 5, 29
752, 3, 3
753, 7, 47
754, 4, 19
755, 3, 8
756, 8, 82
757, 6, 33
758, 4, 13
759, 7, 28
760, 7, 57
761, 9, 60
762, 4, 12
763, 4, 21
764, 9, 71
765, 4, 14
766, 8, 54
767, 5, 19
768, 6, 32
769, 3, 5
770, 7, 28
771, 7, 61
772, 4, 13
773, 4, 14
774, 4, 13
775, 3, 6
776, 2, 1
777, 3, 4
778, 7, 62
779, 6, 38
780, 4, 8
781, 4, 17
782, 8, 65
783, 6, 18
784, 6, 33
785, 7, 66
786, 5, 22
787, 4, 22
788, 3, 4
789, 2, 4
790, 6, 26
791, 7, 40
792, 10, 84
793, 4, 19
794, 4, 12
795, 4, 21
796, 6, 4
797, 6, 21
798, 6, 28
799, 10, 63
800, 8, 69
801, 3, 4
802, 2, 4
803, 7, 63
804, 4, 19
805, 3, 4
806, 9, 81
807, 4, 2
808, 8, 73
809, 3, 8
810, 9, 59
811, 7, 56
812, 11, 126
813, 9, 71
814, 3, 8
815, 7, 55
816, 12, 119
817, 5, 24
818, 3, 9
819, 4, 15
820, 5, 13
821, 6, 38
822, 8, 60
823, 4, 8
824, 15, 287
825, 4, 9
826, 4, 13
827, 8, 44
828, 3, 4
829, 2, 3
830, 9, 87
831, 10, 104
832, 7, 47
833, 11, 107
834, 6, 46
835, 5, 20
836, 4, 13
837, 8, 81
838, 7, 65
839, 6, 34
840, 9, 38
841, 2, 2
842, 7, 45
843, 5, 23
844, 4, 16
845, 5, 30
846, 5, 16
847, 2, 2
848, 4, 12
849, 9, 70
850, 11, 140
851, 4, 11
852, 8, 64
853, 7, 32
854, 7, 44
855, 4, 14
856, 10, 112
857, 7, 52
858, 9, 104
859, 4, 11
860, 4, 8
861, 9, 53
862, 3, 10
863, 5, 20
864, 5, 21
865, 5, 39
866, 8, 45
867, 6, 24
868, 7, 43
